EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.607,0.508,28,28_0,4,3,False,1,0.0473208922863342,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,29,29_0,4,3,False,1,0.0477017594354156,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,30,30_0,4,3,False,1,0.0476988907079271,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,31,31_0,4,3,False,1,0.0479719050435862,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,32,32_0,4,3,False,1,0.0481087497354959,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,33,33_0,4,3,False,1,0.0480922529528426,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,34,34_0,4,3,False,1,0.0482272987509018,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,35,35_0,4,3,False,1,0.0482568763989542,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,36,36_0,4,3,False,1,0.0483291196193108,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,37,37_0,4,3,False,1,0.04833318938631,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,38,38_0,4,3,False,1,0.0486101131060435,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,39,39_0,4,3,False,1,0.048207495219343,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
